"","lengthscales","num_cv"
"1",3.35794711112976,1
"2",3.35794734954834,2
"3",3.35794734954834,3
"4",3.35794711112976,4
"5",3.35794711112976,5
"6",3.35794711112976,6
"7",3.35794711112976,7
"8",3.35794734954834,8
"9",3.35794687271118,9
"10",3.35794687271118,10
"11",3.35794687271118,11
"12",3.35794711112976,12
"13",3.35794734954834,13
"14",3.35794734954834,14
"15",3.35794711112976,15
"16",3.35794711112976,16
"17",3.35794687271118,17
"18",3.35794711112976,18
"19",3.35794711112976,19
"20",3.35794734954834,20
